fpl_id,review_id,Name,Pos,Value,30_Pts,30_xMins,31_Pts,31_xMins,32_Pts,32_xMins,33_Pts,33_xMins,34_Pts,34_xMins,35_Pts,35_xMins,36_Pts,36_xMins,Team
173,173,O'Shea,D,4.4,1.39,90.0,2.23,90.0,1.62,90.0,1.51,90.0,1.82,90.0,1.06,90.0,1.45,90.0,Burnley
401,401,Wan-Bissaka,D,4.4,2.35,90.0,1.73,90.0,1.72,90.0,2.05,90.0,3.0,90.0,3.01,90.0,2.18,90.0,Man Utd
206,206,James,D,5.3,0.51,90.0,0.99,90.0,1.52,90.0,2.47,90.0,1.81,90.0,3.2,90.0,4.13,90.0,Chelsea
757,757,Bradley,D,4.1,3.24,90.0,4.07,90.0,2.43,90.0,2.61,90.0,2.21,90.0,1.34,90.0,1.35,90.0,Liverpool
522,522,N.Aguerd,D,4.4,1.72,90.0,1.83,90.0,2.15,90.0,2.47,90.0,2.28,90.0,1.48,90.0,1.48,90.0,West Ham
182,182,Vitinho,D,4.4,1.41,90.0,2.14,90.0,1.65,90.0,1.74,90.0,2.25,90.0,1.3,90.0,1.74,90.0,Burnley
471,471,Ahmedhodžić,D,4.3,2.18,90.0,0.6,90.0,1.54,90.0,1.65,90.0,3.34,90.0,1.21,90.0,2.41,90.0,Sheffield Utd
777,777,Drăgușin,D,4.2,2.45,90.0,1.56,90.0,1.51,90.0,1.03,90.0,0.69,90.0,0.89,90.0,0.62,90.0,Spurs
178,178,Taylor,D,4.0,1.43,90.0,2.45,90.0,1.91,90.0,2.0,90.0,2.6,90.0,1.4,90.0,1.91,90.0,Burnley
330,330,Osho,D,4.4,0.99,90.0,0.8,90.0,2.05,90.0,0.5,90.0,2.55,90.0,1.94,90.0,2.4,90.0,Luton
228,228,Guéhi,D,4.2,0.6,90.0,0.61,90.0,0.36,90.0,0.39,90.0,1.08,90.0,0.78,90.0,1.14,90.0,Crystal Palace
633,633,Livramento,D,4.1,2.17,90.0,2.17,90.0,1.7,90.0,1.49,90.0,1.52,90.0,2.41,90.0,1.87,90.0,Newcastle
805,805,Assignon,D,4.0,1.46,90.0,2.58,90.0,2.02,90.0,2.11,90.0,2.78,90.0,1.49,90.0,2.03,90.0,Burnley
139,139,Lamptey,D,3.9,1.13,90.0,2.07,90.0,1.6,90.0,2.27,90.0,0.38,90.0,2.62,90.0,2.8,90.0,Brighton
588,588,Young,D,4.4,1.39,90.0,1.29,90.0,1.99,90.0,1.18,90.0,2.87,90.0,1.86,90.0,1.7,90.0,Everton
41,41,Diego Carlos,D,4.4,1.59,90.0,0.59,90.0,1.24,90.0,0.7,90.0,1.14,90.0,1.08,90.0,0.87,90.0,Aston Villa
